processo,uf,municipio,codigo_ibge,orgao,objeto_compra,link_portal,parecer_geral,prioridade,deve_priorizar,modo_processamento,contexto_dominante,justificativa,recomendacao_motivo,total_itens,aderencia_direta,aderencia_parcial_forte,aderencia_parcial_fraca,falso_positivo_lexical,nao_aderente,valor_estimado,valor_homologado,data_encerramento,srp,situacao,provedor,modelo,analisado_em,custo_usd,tok_in,tok_out,cache_r,cache_w,n_chamadas_llm,lat_ms_total
16781346000104-1-000064/2026,MG,Piumhi,3151503,MUNICIPIO DE PIUMHI,"[LICITANET] - Contratação de empresa prestadora de serviço operacional de monitoramento e apoio (staff),   e prestadora de serviços de arbitragem para Campeonato Municipal de futsal, futebol de campo, futsal, vôlei, handebol, basquete e xadrez a serem realizados por esta Municipalidade, em atendimen…",https://licitanet.com.br/sessao/179791,NAO_ADERENTE,DESCARTAR,0,llm,"Contratação de serviços operacionais e de arbitragem para campeonato municipal de futsal, futebol, vôlei, handebol, basquete e xadrez","Licitação é para serviços esportivos recreativos municipais. Resgatécnica atua em emergências e operações críticas, não em eventos esportivos comunitários.",Licitação totalmente fora do nicho de atuação. Resgatécnica não fornece serviços de arbitragem ou organização de eventos esportivos municipais.,2,0,0,0,0,2,648685.45,,2026-04-29,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:12:45,0.010324,1414,1095,60165,0,1,8103
16854531000181-1-000046/2026,MG,Oliveira,3145604,MUNICIPIO DE OLIVEIRA,Aquisição de materiais para oficinas terapêuticas e de reabilitação,,NAO_ADERENTE,DESCARTAR,0,llm,Aquisição de materiais para oficinas terapêuticas e de reabilitação em município,Agregado de 2 lotes. Aderentes: 0/50 (0%).,"Licitação de papelaria, artesanato e reabilitação genérica. Completamente fora do nicho técnico-operacional de emergências da Resgatécnica. Nenhum item tem aderência comercial real.",50,0,0,6,0,44,0.0,,2026-04-30,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:06:13,0.052038,6149,9373,120330,0,2,49114
16854531000181-1-000049/2026,MG,Oliveira,3145604,MUNICIPIO DE OLIVEIRA,Aquisição de equipamentos e material permanente (EMENDA nº 50410003 / Proposta: 14033330000125008; EMENDA nº 27560003 / Proposta: 14033330000124004; e Portaria Conjunta MF/MGI Nº15/2025) da Secretaria Municipal de Saúde.,,NAO_ADERENTE,DESCARTAR,0,llm,"Aquisição de equipamentos e material permanente para Secretaria Municipal de Saúde. Licitação composta predominantemente por mobiliário de escritório, equipamentos de informática, eletrodomésticos hospitalares e insumos médicos de rotina.",Agregado de 2 lotes. Aderentes: 0/26 (0%).,"Licitação totalmente desalinhada com portfólio técnico-operacional. Nenhum item é aderente direto. Apenas 3 itens (compressores genéricos) têm aderência parcial fraca e 1 falso positivo lexical. Resgatécnica não é fornecedora de mobiliário, informática, eletrodomésticos ou equipamentos médicos hospi…",26,0,0,3,1,22,0.0,,2026-04-30,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:14:57,0.038394,5439,6104,120330,0,2,36139
17217332000125-1-000184/2025,MG,Belo Horizonte,3106200,INSTITUTO DE PREVIDENCIA DOS SERVIDORES DO ESTADO MG,"MATERIAIS MÉDICO-HOSPITALARES do tipo SENSOR BIS COM COMODATO DE MONITORES, sob a forma de ENTREGA PARCELADA por período de 12 meses.",https://www1.compras.mg.gov.br/n/procedimentolei14133/consulta/eletronico/visualizar/2025/102/2012015,NAO_ADERENTE,DESCARTAR,0,llm,Licitação para aquisição de sensores BIS (Bispectral Index) descartáveis com comodato de monitores para instituição de previdência. Mercado: insumos médico-hospitalares de monitoramento anestésico/neurológico em ambiente hospitalar/clínico,"Sensor BIS é insumo médico-hospitalar de monitoramento anestésico para ambiente clínico/cirúrgico. Resgatécnica atua em operações críticas de emergência e resgate, não em fornecimento de insumos hospitalares genéricos ou monitoramento anestésico de rotina","Licitação fora do escopo comercial e operacional da Resgatécnica. Sensor BIS é insumo médico-hospitalar de monitoramento anestésico, não equipamento de resgate ou emergência",1,0,0,0,0,1,0.0,,2026-04-30,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:19:06,0.010116,1143,1097,60165,0,1,8128
17516113000147-1-000020/2026,MG,Belo Horizonte,3106200,ASSEMBLEIA LEGISLATIVA DO ESTADO DE MINAS GERAIS,Serviço de transmissão do sinal digital da TV Assembleia por satélite geoestacionário que opera em banda C,https://www1.compras.mg.gov.br/n/procedimentolei14133/consulta/eletronico/visualizar/2026/8/1011014,NAO_ADERENTE,DESCARTAR,0,llm,Serviços de telecomunicações via satélite geoestacionário para transmissão de sinal digital de TV por órgão legislativo estadual,Licitação pertence a mercado de telecomunicações e infraestrutura de satélites. Resgatécnica atua exclusivamente em equipamentos e serviços para emergências e operações críticas. Nenhuma sobreposição comercial real.,Licitação de telecomunicações. Resgatécnica não atua neste mercado. Sem oportunidade comercial.,3,0,0,0,0,3,0.0,,2026-05-18,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:04:05,0.01104,1263,1304,60165,0,1,8707
17695008000112-1-000032/2026,MG,Três Marias,3169356,MUNICIPIO DE TRES MARIAS,"Registro de preços para futuras e eventuais aquisição de colchonetes infantis, novos, destinados ao atendimento das necessidades das creches da Rede Municipal de Ensino, conforme solicitação da Secretaria Municipal de Educação, visando garantir condições adequadas de conforto, higiene e segurança às…",https://app2.licitardigital.com.br/pesquisa/94054,NAO_ADERENTE,DESCARTAR,0,llm,Aquisição de colchonetes infantis para creches municipais - mercado educacional infantil,"Licitação destina-se exclusivamente a colchonetes infantis para creches. Resgatécnica atua em emergências e operações críticas, não em mobiliário educacional infantil. Nenhuma sobreposição comercial real.",Licitação totalmente fora do escopo operacional. Resgatécnica não atua em mobiliário infantil educacional. Sem compatibilidade comercial real.,4,0,0,0,0,4,81673.0,,2026-05-04,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:03:55,0.011394,1301,1385,60165,0,1,8496
17710690000175-1-000002/2026,MG,Volta Grande,3172103,MUNICIPIO DE VOLTA GRANDE,[Portal de Compras Públicas] - CONTRATAÇÃO DE EMPRESA PARA REALIZAR O FORNECIMENTO DE 01 ÔNIBUS ESCOLAR DE 45 LUGARES E 01 MICRO-ÔNIBUS ESCOLAR DE 30 LUGARES,https://www.portaldecompraspublicas.com.br/processos/MG/Prefeitura-Municipal-de-Volta-Grande-2004/PE-001-2026-2026-466149,NAO_ADERENTE,DESCARTAR,0,llm,Licitação para fornecimento de veículos escolares (micro-ônibus e ônibus) para transporte de alunos em ambiente urbano e rural,"Licitação fora do escopo operacional e comercial da Resgatécnica. Veículos escolares não são equipamentos de emergência, resgate ou operações críticas.","Licitação completamente fora do escopo comercial e operacional da Resgatécnica. Não há compatibilidade semântica, mercadológica ou técnica.",2,0,0,0,0,2,1229491.08,,2026-05-06,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:04:58,0.010174,1341,1072,60165,0,1,9365
17783044000480-1-000008/2026,MG,Juiz de Fora,3136702,EMPRESA MUNICIPAL DE PAVIMENTACAO E URBANIDADES - EMPAV,Futura e eventual aquisição de EPI (Equipamento de Proteção Individual) da Empav,https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=92793605900082026,NAO_ADERENTE,DESCARTAR,0,llm,Aquisição de EPI genérico para empresa municipal de pavimentação e urbanidades (EMPAV),"Licitação focada em EPI genérico de rotina (botinas de segurança comum, camisas uniforme) para pavimentação urbana. Resgatécnica fornece EPI técnico-operacional especializado para emergências críticas. Contexto dominante, tipo de comprador e finalidade de uso são completamente distintos.",Licitação de EPI genérico para pavimentação urbana. Resgatécnica é especialista em EPI técnico-operacional para emergências críticas. Sem aderência comercial real. Recomenda-se não participar.,3,0,0,0,0,3,660976.61,,2026-05-04,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:12:28,0.011272,1164,1382,60165,0,1,10014
17884412000134-1-000147/2026,MG,Andradas,3102605,MUNICIPIO DE ANDRADAS,"CONSTITUI OBJETO DO PRESENTE PREGÃO ELETRÔNICO O REGISTRO DE PREÇOS A AQUISIÇÃO DE MATERIAIS GRÁFICOS DIVERSOS, DESTINADOS ÀS SECRETARIAS MUNICIPAIS DA CIDADE DE ANDRADAS/MG.",,NAO_ADERENTE,DESCARTAR,0,llm,"Aquisição de materiais gráficos diversos (adesivos, banners, envelopes, cartazes, impressos administrativos e médicos) para secretarias municipais de Andradas/MG.",Agregado de 2 lotes. Aderentes: 0/50 (0%).,"Licitação é de materiais gráficos e administrativos genéricos. Resgatécnica é fornecedora especializada em equipamentos técnico-operacionais de emergência. Nenhuma sobreposição comercial real. Todos os 25 itens pertencem a mercados completamente distintos (gráfica, papelaria, impressos médicos). Rec…",50,0,0,0,0,50,1771077.2,,2026-05-07,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:08:11,0.053164,8132,9258,120330,0,2,47427
17935388000115-1-000038/2026,MG,Careaçu,3113602,MUNICIPIO DE CAREACU,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA ORGANIZAÇÃO E REALIZAÇÃO DA FESTA DO PEÃO DE CAREAÇU, COM DATA PREVISTA DE REALIZAÇÃO NO PERÍODO DE 18 AO DIA 20 DE JUNHO DE 2026, CONFORME REGRAS ESTABELECIDAS NO TERMO DE REFERÊNCIA E EDITAL",https://careacu.licitapp.com.br/login,NAO_ADERENTE,DESCARTAR,0,llm,Contratação de empresa especializada para organização e realização de festa/evento popular (Festa do Peão de Careaçu) em junho de 2026.,"Licitação é para organização de evento festivo/cultural. Resgatécnica é fornecedora de equipamentos técnicos para emergências e operações críticas, não prestadora de serviços de organização de eventos ou entretenimento.","Licitação pertence a mercado completamente distinto (eventos/entretenimento). Resgatécnica não possui competência, portfólio ou experiência em organização de festas populares. Recomenda-se descartar.",1,0,0,0,0,1,541000.0,,2026-05-06,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:12:10,0.009732,1174,995,60165,0,1,7303
17947581000176-1-000074/2026,MG,Muriaé,3143906,MUNICIPIO DE MURIAE,"O presente Termo de Referência tem por objeto a contratação de empresa especializada para fornecimento e implantação de solução tecnológica de comunicação digital institucional, com uso de inteligência artificial, destinada ao atendimento e à interação entre a Administração Pública Municipal e os mu…",https://bnccompras.com/Process/ProcessView?param1=[gkz]YMHmFEUHuGFHmg7OoP7cql5FCOw0KK9IVyJwo2znPHEdE7zUIE9iFA6QsEXG0YsotWDFyJlpg7QC5LkvqWjSoFLPHO5_L6LDxoel6vxczhU=,NAO_ADERENTE,DESCARTAR,0,llm,Contratação de solução tecnológica de comunicação digital com inteligência artificial para atendimento municipal via WhatsApp e chat web,Licitação é de tecnologia digital/IA; Resgatécnica fornece equipamentos físicos de resgate e emergência. Mercados completamente distintos.,Licitação é de tecnologia digital/IA para comunicação municipal. Resgatécnica é fornecedora de equipamentos físicos de resgate e emergência. Sem intersecção comercial real.,5,0,0,0,0,5,395778.84,,2026-04-29,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:17:41,0.01218,1359,1570,60165,0,1,12250
17955386000198-1-000032/2026,MG,Cambuquira,3110707,MUNICIPIO DE CAMBUQUIRA,"Aquisição de bens permanentes, sendo 01 (uma) máquina retroescavadeira destinada à Secretaria Municipal de Desenvolvimento Econômico, por meio do Convênio n° 1231002094/2025 – SEAPA, e 01 (uma) minivan destinada à Secretaria Municipal de Saúde, conforme Resolução n° 10.415/2025.",https://bllcompras.com/Process/ProcessView?param1=[gkz]ruuP5nG9KSs4CDXEJ8uN6WBR0kAq04FSFNDMqDdF9OPfW_IRalFm4M8u9sIINWw_dq3hknfAGIu468XmyJ0O6zc9ABE_y8_VIfVIHn1gFbQ=,NAO_ADERENTE,DESCARTAR,0,llm,Aquisição de máquinas e veículos para uso administrativo/municipal: retroescavadeira para desenvolvimento econômico e minivan para transporte de saúde,Licitação foca em equipamentos genéricos de construção e transporte municipal. Resgatécnica fornece equipamentos especializados para emergências e operações críticas. Sem sobreposição comercial real.,Licitação pertence a mercado de maquinário pesado e transporte administrativo. Resgatécnica é especialista em equipamentos de emergência e operações críticas. Sem compatibilidade comercial real.,2,0,0,0,0,2,151530.0,,2026-05-04,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:02:03,0.01048,1453,1126,60165,0,1,8913
18025890000151-1-000042/2026,MG,Brazópolis,3108909,MUNICIPIO DE BRASOPOLIS,"REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA LOCAÇÃO DE BIPAP DE USO HOSPITALAR E RESIDENCIAL, EM ATENDIMENTO AOS PACIENTES DO MUNICÍPIO DE BRAZÓPOLIS.",https://comprasbr.com.br/pregao-eletronico-detalhe/?idlicitacao=44262,NAO_ADERENTE,DESCARTAR,0,llm,Locação de equipamento médico-hospitalar (BIPAP) para uso hospitalar e residencial em município,"Licitação é para locação de BIPAP hospitalar/residencial. Resgatécnica atua em emergências e operações críticas, não em fornecimento/locação de equipamentos médicos hospitalares de uso contínuo. Contexto dominante é saúde hospitalar, não resgate ou emergência.","Licitação fora do escopo operacional da Resgatécnica. BIPAP é equipamento médico hospitalar genérico; empresa atua em resgate, emergência e operações críticas, não em saúde hospitalar de rotina.",1,0,0,0,0,1,184389.6,,2026-05-05,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:14:20,0.009634,1106,984,60165,0,1,7362
18025890000151-1-000044/2026,MG,Brazópolis,3108909,MUNICIPIO DE BRASOPOLIS,"REGISTRO DE PREÇO PARA FUTURA E EVENTUAL AQUISIÇÃO DE VEÍCULOS, CONFORME ESPECIFICAÇÕES DO TERMO DE REFERENCIA DO EDITAL, EM ATENDIMENTO A SOLICITAÇÃO DA SECRETARIA MUNICIPAL DE EDUCAÇÃO.",https://comprasbr.com.br/pregao-eletronico-detalhe/?idlicitacao=44299,NAO_ADERENTE,DESCARTAR,0,llm,"Aquisição de veículos para Secretaria Municipal de Educação - contexto administrativo/educacional, não operacional de emergência","Licitação destina-se a veículos para educação municipal. Resgatécnica atua em nicho especializado de operações críticas e emergências, não em frotas administrativas escolares.",Licitação fora do escopo operacional. Resgatécnica não é fornecedora de veículos administrativos/educacionais genéricos. Foco em equipamentos e veículos especiais para emergências.,1,0,0,0,0,1,187193.32,,2026-05-07,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:15:57,0.009751,1107,1013,60165,0,1,7904
18025924000108-1-000005/2026,MG,Delfim Moreira,3121100,MUNICIPIO DE DELFIM MOREIRA,"Aquisição de combustível para atender aos serviços da Administração Municipal de Delfim Moreira – MG, para eventual e futuro fornecimento, com inscrição em ATA DE REGISTRO DE PREÇOS.",https://app2.licitardigital.com.br/pesquisa/93302,NAO_ADERENTE,DESCARTAR,0,llm,Aquisição de combustível (diesel e gasolina) para frota municipal genérica,Licitação de combustível genérico para administração municipal. Resgatécnica não é distribuidora de combustíveis comuns; atua em equipamentos e soluções técnicas de emergência.,"Licitação de combustível genérico. Resgatécnica é especialista em equipamentos de emergência, não em distribuição de combustíveis automotivos comuns. Sem aderência comercial real.",2,0,0,0,0,2,2411897.5,,2026-05-08,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:03:29,0.009972,1179,1054,60165,0,1,7214
18025932000154-1-000054/2026,MG,Gonçalves,3127404,MUNICIPIO DE GONCALVES,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM EXECUÇÃO DE ASSENTAMENTO DE MEIO- FIOS, BLOCOS PRÉ-MOLDADOS DE CONCRETO (TIPO BLOQUETES SEXTAVADOS E INTERTRAVADOS)  E PARALELEPÍPEDOS",,NAO_ADERENTE,DESCARTAR,0,llm,"Licitação para contratação de mão de obra especializada em assentamento de blocos pré-moldados, paralelepípedos e meio-fios. Escopo: infraestrutura urbana e pavimentação.",Licitação pertence ao mercado de construção civil e pavimentação urbana. Resgatécnica atua exclusivamente em resposta a emergências e operações críticas. Nenhuma sobreposição comercial real.,Licitação de construção civil. Resgatécnica não fornece serviços de pavimentação ou assentamento de infraestrutura urbana. Mercados completamente distintos.,4,0,0,0,0,4,3158411.3,,2026-04-29,1,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:15:16,0.011689,1400,1439,60165,0,1,9660
18094763000104-1-000011/2026,MG,Antônio Carlos,3102902,MUNICIPIO DE ANTONIO CARLOS,"AQUISIÇÃO DE VEÍCULOS PARA TRANSPORTE ESCOLAR, DESTINADOS AO ATENDIMENTO DE ALUNOS MATRICULADOS EM ESCOLAS DA REDE MUNICIPAL DE ENSINO, CONFORME DESCRITO NO PLANO DE APLICAÇÃO DE RECURSOS - ""PROGRAMA FORTALECIMENTO DAS ESCOLAS MUNICIPAIS"", CONVÊNIO DE SAÍDA Nº 1261001627/2025/SEE.",,NAO_ADERENTE,DESCARTAR,0,llm,Aquisição de veículos para transporte escolar de alunos em rede municipal de ensino,"Licitação é para transporte escolar. Resgatécnica fornece equipamentos de emergência e operações críticas, não veículos escolares.",Licitação fora do escopo operacional. Resgatécnica não fornece veículos escolares. Mercado incompatível.,2,0,0,0,0,2,1536456.58,,2026-05-04,0,Divulgada no PNCP,anthropic,claude-haiku-4-5,2026-04-22T01:02:30,0.010519,1477,1131,60165,0,1,7686
