processo,uf,municipio,parecer_licitacao,modo_processamento,numeroItem,descricao,classificacao,grau_confianca,produto_referencia,categoria_portfolio,subcategoria_portfolio,motivos_pro,motivos_contra,sinais_lexicais,observacao
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,18,CADEIRA ESCRITORIO CADEIRAS PARA ESCRITÓRIO Especificações Linha: UT-C300 Modelo: UT-C300 Base: Cromada Cor: Preto Categoria: Escritório Encosto Reclinável: (Sistema relax) Ajuste de Altura: Sim Materiais da Estrutura: Metal + Madeira Compensada Peso suportado: 120Kg Giratória: Sim Classe do pistão: 2 Com Apoio de Braço: Sim Braço regulável: Não Apoio para os Pés: Não Com Rodas: Sim Montada: Não T…,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,19,"CADEIRA PARA RECEPÇÃO CADEIRA PARA RECEPÇÃO Cadeira fixa para secretária, assento e encosto em espuma injetada, revestida em tecido ou corino, montada sobre quatro pés palito duplo, com L duplo dimensões 0,82x0,44x0,53 (AxLxP); cor preta.",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,20,CAIXA P/ FERRAMENTAS 5 GAVETAS CAIXA DE FERRAMENTA ARTICULADACAIXA PARA FERRAMENTAS SANFONADA COM 5 GAVETASMATERIAL: METAL  COMPRIMENTO: 50 CM  LARGURA: 20 CM,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,21,"CAIXA PARA CAPTURA DE SERPENTE CAIXA PARA CAPTURA DE SERPENTES COMPENSADO NAVAL, FUROS, DIVISÓRIAS, TAMPA COM CADEADO, TAMANHO ( 60X40X30CM).",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,22,"CALÇA DE SEGURANÇA PARA MOTOSSERRISTA CALCA DE SEGURANCA - MATERIA-PRIMA: POLIESTER; FINALIDADE: EPI PARA OPERADOR DE MOTO SERRA; COR: AZUL MARINHO; TAMANHO: CONFORME SOLICITACAO PELO ORGAO/ENTIDADE; DETALHES: 08 CAMADAS DE PROTECAO, 07 PASSANTES, ZIPER;",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,23,CANTIL/MOCHILA DE HIDRATAÇÃO CANTIL/MOCHILA DE HIDRATAÇÃO  CANTIL - MATERIA PRIMA: POLIETILENO DE ALTA DENSIDADE; APLICACAO: TRANSPORTE DE LIQUIDO; CAPACIDADE: MINIMA DE 900ML; / 1297856 MOCHILA - MATERIA-PRIMA: NYLON E NYLON RESINADO; FINALIDADE: TRANSPORTE DE LIQUIDOS PARA HIDRATACAO/BOMBEIRO;,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,24,"CAPA CHUVA POLIESTER G CAPA DE CHUVA  TECIDO SINTÉTICO POLIÉSTER(TREVIRA) PLASTIFICADO COM PVC EM AMBAS AS FACES, CAPUZ CONJUGADO, COM MANGAS LONGAS, FECHAMENTO FRONTAL ATRAVÉS DE BOTÕES DE PRESSÃO E COSTURA ATRAVÉS DE SOLDA ELETRÔNICA; ANTICHAMAS(IGNÍFUGO); FAIXA REFLETIVA NAS MANGAS E PEITO, COM ESPESSURA DE 2CM; TAMANHO G.",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,25,CAPACETE PARA COMBATE A INCÊNDIO CAPACETES PARA COMBATE A INCÊNDIO(1POR BRIGADISTA) CAPACETE PARA COMBATE INCENDIO - TIPO: FLORESTAL; MATERIA-PRIMA EXTERNA: TERMOPLASTICO; CARACTERISTICAS: ABA TOTAL; COMPONENTE: TIRA DE FIXACAO JUGULAR;,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,26,"CAPACETE SEGURANÇA CAPACETE SEGURANÇA (TIPORAPEL/ESCALADA) CAPACETE TIPO SEGURANCA - MATERIA-PRIMA: TERMOPLASTICO ABS OU POLIPROPILENO; DETALHES: MULTIMISSAO,TIPO III (SEM ABA), VISEIRA E CARNEIRA",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,27,CHAVE DE MANGUEIRA CHAVE DE MANGUEIRA DE 2½ “E1½“ CHAVE DE MANGUEIRA E MANGOTE - MATERIA PRIMA: LATAO; MEDIDAS: 2 1/2 POLEGADAS; COMPONENTES: ENCAIXE P/APERTAR JUNTAS UNIAO STORZ DE 2 1/2 POL.; FINALIDADE: MANGUEIRA;,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,28,"CHAVE DE REGISTRO DE HIDRANTE CHAVE DE REGISTRO DE HIDRANTE DE COLUNA COM LUVAS - MATERIA PRIMA: ACO ESPECIAL RESISTENTE AO ESFORCO DE TORCAO; MEDIDAS: 1,2 METROS, TIPO T; COMPONENTES: LUVA REDUCAO 30X30 P/20X20MM C/ENCAIXE CABECOTE;",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,29,CHAVE INGLESA 15&039;&039; CHAVE INGLESA  MEDIDAS: 375MM - 15 :: CHAVE INGLESA/ AJUSTÁVEL E FEITA DE AÇO FERRAMENTA E SUBMETIDO A TEMPERA SELETIVA,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,30,"CHAVE PARA TAMPAO DE HIDRANTE 2 1/2 CHAVE PARA TAMPAO DE HIDRANTE - MATERIA PRIMA: ACO ESPECIAL; MEDIDAS: 0,76 METRO DE COMPRIMENTO; BITOLA DOS TAMPOES: 2 1/2 POLEGADAS;",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,31,"CHAVE PARA TAMPAO DE HIDRANTE 4 2 1/2 CHAVE PARA TAMPAO DE HIDRANTE COLUNA 4 X 2 1/2 - MATERIA PRIMA: ACO ESPECIAL; MEDIDAS: 0,76 METRO DE COMPRIMENTO; BITOLA DOS TAMPOES: 4 POLEGADAS;",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,32,CHAVE PARA TAMPÃO DE HIDRANTE DE COLUNA4X 2 1/2 CHAVE PARA TAMPÃO DE HIDRANTE DE COLUNA4”X2½ “  CHAVE STORZ DUPLA LATÃO 2.1/2“ E 1.1/2“ PARA HIDRANTE ALTURA X LARGURA X PROFUNDIDADE: 10 CM X 0.5 CM X 2 CM MATERIAL: AÇO INOXIDÁVEL,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,33,CHAVES PORTA DE ELEVADOR CHAVES PORTA DE ELEVADOR -JOGO MATERIAL: LIGA DE ZINCO  DIMENSÕES: 61MM  TAMANHO DO TRIÂNGULO: 9MM,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,34,CINTO NÍVEL LIII CINTO NÍVEL LIII PARA TRABALHOS   QUE EXIJAM ANCORAGEM CINTO SEGURANCA - TIPO: PARAQUEDISTA; UTILIZACAO: RESGATES E ACESSO POR CORDAS; COMPONENTES: MINIMO 05 PONTOS DE ANCORAGEM;,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,35,CINTO TIRANTE ARANHA CINTO TIRANTE ARANHA PARA PRANCHA  TIRANTE DE IMOBILIZACAO - MATERIA-PRIMA: 100% POLIAMIDA(NYLON RESISTENTE OU POLIPROPILENO); TIPO: ARANHA; CARGA DE RUPTURA: NAO APLICAVEL; MEDIDAS: ADULTO;,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,36,"COLAR CERVICAL M COLAR CERVICAL PARA RESGATE EM POLIETILENO, DE ALTA DENSIDADE TAM M: COM ESPESSURA MÍNIMA 1,5 MM, REVESTIDO DE ESPUMA MACIA TIPO EVA (ETIL VINIL ACETATO) FECHO EM VELCRO DE 05 MM EM UM DOS LADOS, EM CORES DE PADRÃO UNIVERSAL.",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,37,COLAR CERVICAL P COLAR CERVICAL  P- TIPO: REGULAVEL; COMPOSICAO (1): PLASTICO RESISTENTE RADIOTRANSLUCIDO; COMPOSICAO (2): TOTALMENTE RADIOTRANSPARENTE; INDICACOES: IMOBILIZACAO DA CABECA/PESCOCO; TAMANHO: P (PEQUENO),NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,38,"COLCHONETE PARA MACA ARTICULAVEL COLCHONETE PARA MACA ARTICULAVEL - ENCHIMENTO: ESPUMA 100% POLIURETANO; REVESTIMENTO: COURVIM; DIMENSOES: APROX. 1,80 M X 0,60 M X 0,5 M (C X L X A); DENSIDADE: MINIMA: D-26;",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,39,"COLETE DE IMOBILIZAÇÃO DORSAL KED COLETE DE IMOBILIZAÇÃO DORSAL TIPO KED COLETE PARA IMOBILIZACAO DE VITIMA - APLICACAO: IMOBILIZACAO DA COLUNA VERTEBRAL (TOTAL); TIPO: KED OU SIMILAR; COMPONENTES: 04 TIRANTES,CINTOS ENGATE RAPIDO,ALMOFADAS E TIRAS;",NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,40,COLETE SINALIZAÇÃO G COLETE SINALIZAÇÃO COLETE REFLETIVO DE SINALIZAÇÃOTAMANHO G COR LARANJA,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
18241752000100-1-000020/2026,MG,Alpinópolis,NAO_ADERENTE,meepp,41,COMPRESSA CAMPO OPER. 4550CM CAMPOS OPERATÓRIOS PCT 50UNID COMPRESSA TIPO CAMPO OPERATORIO - MATERIA-PRIMA: 100% ALGODAO COM FILAMENTO RADIOPACO; CAMADAS: 4 CAMADAS SOBREPOSTAS; ESTERIL: NAO; DIMENSOES (L X C ): 45 CM X 50CM (PODENDO VARIAR 10% PARA + OU PARA -); PESO: 40 G POR UNIDADE; BORDAS: COSTURADAS COM CADARCO NO MINIMO 18 CM; APRESENTACAO:,NAO_ADERENTE,0.85,,,,,Item de participação exclusiva ou cota reservada para ME/EPP (tipoBeneficio 1 ou 3). A Resgatécnica não é elegível para este item.,,Classificado por pré-filtro heurístico sem análise LLM.
